Date,Open,High,Low,Close,Adj Close,Volume
2006-10-12,41.258015,42.105255,40.949928,42.105255,27.801804,2039523
2006-10-13,42.105255,42.207951,41.437733,41.591774,27.462761,1909874
2006-10-16,41.489079,41.976883,41.360710,41.976883,27.717039,1547772
2006-10-17,41.745819,41.976883,41.514751,41.617451,27.479712,2309384
2006-10-18,41.720146,42.105255,41.617451,42.028233,27.750944,1252453
2006-10-19,41.899860,42.207951,41.566101,42.130928,27.818760,1443312
2006-10-20,41.976883,42.336319,41.591774,41.668797,27.513611,2276226
2006-10-23,41.437733,42.233624,41.437733,42.130928,27.818760,1138668
2006-10-24,42.002560,42.207951,41.745819,42.130928,27.818760,1040732
2006-10-25,42.105255,43.928104,41.899860,43.851082,28.954565,4560274
2006-10-26,43.286255,45.186127,43.260582,43.311928,28.598570,3924022
2006-10-27,43.183559,43.620014,42.618732,42.824123,28.276468,2774272
2006-10-30,42.156601,42.695755,42.053905,42.439014,28.022186,2560546
2006-10-31,42.541710,43.388950,42.207951,42.824123,28.276468,2309462
2006-11-01,42.747101,43.594341,42.387669,43.465973,28.700281,1405947
2006-11-02,43.311928,43.697037,42.618732,42.926819,28.344278,2170333
2006-11-03,42.952496,43.594341,42.670078,43.106537,28.462946,1525379
2006-11-06,43.003841,43.722713,43.003841,43.722713,28.869802,1186997
2006-11-07,43.645691,44.390236,43.465973,43.953777,29.022367,1958215
2006-11-08,43.645691,44.569950,43.645691,44.441582,29.344463,1593588
2006-11-09,44.236191,44.518604,43.953777,44.287537,29.242746,1194877
2006-11-10,43.825409,44.878040,43.825409,44.441582,29.344463,1425235
2006-11-13,44.236191,44.929386,44.236191,44.723995,29.530941,1847694
2006-11-14,44.492931,44.903713,44.236191,44.364559,29.293606,1369630
2006-11-15,44.569950,44.929386,44.467255,44.621300,29.463140,1435771
2006-11-16,44.441582,45.134777,44.415909,45.006409,29.717417,1363191
2006-11-17,44.775345,45.134777,44.518604,44.595627,29.446182,2087393
2006-11-20,44.467255,44.672646,44.082146,44.595627,29.446182,1382086
